position_id,mint_address,ticker,strategy,amount_sol,entry_price_sol,opened_at,closed_at,close_reason,age_minutes,mcap_usd,volume_usd,txns_buys,txns_sells,txns_total,buy_sell_ratio,liquidity_usd,fdv,price_change_5m,price_change_1h,dev_holdings_pct,top10_holder_pct,rugcheck_result,profile,vol_mcap_ratio,score_proxy,mint_is_pump,realized_pnl_sol,adjusted_pnl_sol,win
e1d19ed4-54a0-4203-aaef-9addc1798b46,CjSBp63Wyng18WbmTQkeHMRvBhSp6BeHT5EG5wmKpump,BEPE,B,0.05,2.799e-08,2026-08-05T19:45:29.309137+00:00,2026-08-05T19:55:29.924791+00:00,time_stop,17.754232873535155,2084.7,313.01,9,7,16.0,1.2857142857142858,,2084.7,-7.44,-5.42,,100.0,pass,B,0.1501463040245599,60.4,1,0.0,,0
54ee30bb-707c-4857-b765-558e5dc2513f,6j5s6ifvpwAvcC9kufnnPNb7McpiQC28n6K4SsGPsfvA,DICK,B,0.05,4.531e-07,2026-08-05T19:46:28.014953+00:00,2026-08-05T19:48:59.890712+00:00,take_profit,1.0453180623372396,32874.55,1226.44,42,58,100.0,0.7241379310344828,,32874.55,17.62,17.62,,99.1374951042478,pass,B,0.03730667035746497,55.5,0,0.05,,1
5c8b7cb2-58ed-4d83-82b9-ace733a7cbb5,8HPhXPhDvm7REBuyHiYnGXw1bUD1ZNN2WQkj4RzH6viC,DICK,B,0.05,4.372e-07,2026-08-05T19:52:29.814575+00:00,2026-08-05T19:57:29.977734+00:00,hard_stop,1.1043519571940104,34123.76,656.59,7,0,7.0,7.0,,34123.76,22.09,22.09,,98.9133695513012,pass,B,0.019241431776568584,58.8,0,-0.049999012,,0
9218f2d4-6671-4561-b87c-b96518da2d80,4pvsdETD1WUiugwnS4iZ6ZJ8xKF9m1CHZUMfR1w7pump,LARP,B,0.05,3.125e-08,2026-08-05T19:58:28.978343+00:00,2026-08-05T20:08:30.184727+00:00,time_stop,0.6895025268554688,6870.7,4519.05,38,17,55.0,2.235294117647059,,6870.7,157.0,157.0,,100.0,pass,B,0.657727742442546,98.6,1,-0.005056,,0
02f42c58-ea06-4836-8df7-611544c89fca,9RAV8iJApooLquv864rifmDNxdrcMq5hjLXFQHFXhgha,LARP,B,0.05,3.832e-08,2026-08-05T20:00:28.805443+00:00,2026-08-05T20:10:30.222290+00:00,time_stop,0.9265487263997396,2885.79,2892.49,15,11,26.0,1.3636363636363635,,2885.79,8.16,8.16,,100.0,pass,B,1.0023217212617688,81.0,0,-0.013517745,,0
e490d3f4-4f29-49a0-a295-24a676c7dfac,9gVir5CT3Xs6UbbM4rE82BUC83fcSPbruw1gLSE8Lde5,DICK,B,0.05,4.482e-07,2026-08-05T20:01:29.271963+00:00,2026-08-05T20:03:30.271244+00:00,hard_stop,1.0765229614257812,34124.79,656.57,7,0,7.0,7.0,,34124.79,22.1,22.1,,98.9375065873513,pass,B,0.019240264921776808,58.8,0,-0.049999014,,0
400d3c0e-aff3-4c31-adef-eb9617043485,FDSR6Sp5vQj2JzHY9Hx8LXx8Q2RxeewwvSSL4YMHpump,LARP,B,0.05,2.795e-08,2026-08-05T20:01:48.800925+00:00,2026-08-05T20:12:00.249526+00:00,time_stop,1.0597597330729167,2082.67,1106.95,7,8,15.0,0.875,,2082.67,-12.09,-12.09,,100.0,pass,B,0.531505231265635,62.1,1,0.0,,0
5022a476-b299-4b41-b147-df27b5d9e42e,3NGGxqWBWiFU6nJSSHCwA2us6wTisUQFApR6XV2xpump,LARP,B,0.05,2.851e-08,2026-08-05T20:02:28.453205+00:00,2026-08-05T20:12:30.230041+00:00,time_stop,1.4809810424804688,2124.01,1330.36,6,6,12.0,1.0,,2124.01,-20.14,-20.14,,100.0,pass,B,0.626343567120682,63.0,1,-0.000982112,,0
057cdfa3-d993-4dd4-9c38-f898e7745679,BPRvcggk4yZoyXuBbBQtKNMwHD4ZnXC1RYm6QbyBpump,LARP,B,0.05,3.556e-08,2026-08-05T20:04:28.333530+00:00,2026-08-05T20:14:30.321515+00:00,time_stop,1.0626061848958333,2510.83,2339.14,16,13,29.0,1.2307692307692308,,2510.83,-0.06,-0.06,,100.0,pass,B,0.931620221201754,76.6,1,-0.010700225,,0
0c2f35b4-047a-4449-9326-2fd6c28052c9,BM5E8q8NC3LBe95vwedVgjGgYmg6yGCpptTvj4BWpump,SAVYET,B,0.05,4.047e-08,2026-08-05T20:10:29.620650+00:00,2026-08-05T20:11:00.731414+00:00,hard_stop,1.254311328125,3009.8,2711.67,72,70,142.0,1.0285714285714285,,3009.8,43.82,43.82,,100.0,pass,B,0.900946906771214,73.7,1,-0.041746973,,0
bd9a524e-b7af-4979-a036-5d4dd0953ce8,7EVeJ86syExywWDPtgQXJEhiJRCiT8hqm7mjvGPKpump,SEASHELL,B,0.05,4.445e-08,2026-08-05T20:12:29.197976+00:00,2026-08-05T20:13:00.366663+00:00,hard_stop,1.4329271362304687,3399.59,1260.93,13,12,25.0,1.0833333333333333,,3399.59,37.94,37.94,,100.0,pass,B,0.37090649166517137,70.4,1,-0.01856018,,0
3079a8e9-3eff-4296-8b3a-995127f0dbd1,Ag64kPtXAJizGpBrdSH7GEYpKoUqh5iWFgdgra4PayS1,DICK,B,0.05,4.483e-07,2026-08-05T20:13:29.187173+00:00,2026-08-05T20:18:00.619440+00:00,hard_stop,1.1316291625976562,35591.29,825.27,15,13,28.0,1.1538461538461537,,35591.29,27.36,27.36,,98.95097122705072,pass,B,0.023187414673646278,54.5,0,-0.049999069,,0
bbbb7070-af4d-4401-abe4-22e5ca4f3f42,FmvDqjzQv3UFNBzZa78XQWA7goVhqZjyHfUX1wp8pump,LARP,B,0.05,2.878e-08,2026-08-05T20:16:28.926153+00:00,2026-08-05T20:26:30.597763+00:00,time_stop,18.047790795898436,2145.52,25057.56,237,261,498.0,0.9080459770114943,,2145.52,-0.44,-24.05,,100.0,pass,B,11.679014877512213,78.2,1,0.0,,0
ecdf0390-52c5-4a10-b3a5-cebfa50e72ef,EhB8X1XxVdN1fukjsCYnJF7k1BosqJSD7qHwhW13pump,LARP,B,0.05,3.597e-08,2026-08-05T20:21:29.428529+00:00,2026-08-05T20:31:30.724129+00:00,time_stop,1.0870487263997395,2676.98,3045.9,24,14,38.0,1.7142857142857142,,2676.98,0.13,0.13,,100.0,pass,B,1.137812012043422,88.4,1,-0.011148179,,0
64b1478a-b2f1-43c0-8785-2fd59ab29acd,3vA9sXE5Kn22z4quGkYAddBzEhMTrJKHVn49y3ZXpump,Tommy,B,0.05,6.165e-08,2026-08-05T20:21:49.342185+00:00,2026-08-05T20:32:00.754087+00:00,time_stop,1.3001741821289063,3771.38,3299.68,29,25,54.0,1.16,,3771.38,33.11,33.11,,99.93076582118161,pass,B,0.8749264195069179,78.1,1,0.000875912,,1
